track,model,fold,n,model_log_loss,model_brier,model_accuracy,model_ece,market_log_loss,market_brier,market_accuracy,market_ece,dc_log_loss,dc_brier,dc_accuracy,dc_ece,logloss_gap,dc_logloss_gap
market_aware,lightgbm_tuned,wf_2023,1727,0.9805336030906284,0.5829645600506079,0.5402431962941517,0.02991472139244889,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.02695213541407271,0.026802942942430685
market_aware,lightgbm_tuned,wf_2024,1732,0.9820003461980251,0.5831878664870728,0.5363741339491916,0.019304466763383505,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.02225595804824143,0.024501764350725486
market_aware,logistic,holdout_2025,1727,0.9865149075887343,0.5870971745392615,0.5292414591777649,0.025486569383577264,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.008146884708954971,0.014250338250636707
market_aware,logistic,wf_2020,1777,1.0635566400711118,0.636925199547602,0.469893078221722,0.09114514387623597,0.9765613270483494,0.5791191479076425,0.5278559369724254,0.03223673791595938,1.0006994148712456,0.5959506721696751,0.5120990433314575,0.030857624001676173,0.08699531302276242,0.02413808782289617
market_aware,logistic,wf_2021,1792,0.9890762736433337,0.5890483097522446,0.5206473214285714,0.024336282015518712,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.010569657887600448,0.017734269375520362
market_aware,logistic,wf_2022,1796,0.9859711934261617,0.5872625877147819,0.5189309576837416,0.029487320334343013,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.007879895642207924,0.024403991085488297
market_aware,logistic,wf_2023,1727,0.9614076753943143,0.5700962946603411,0.5512449334105385,0.024114068154451017,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.007826207717758549,0.026802942942430685
market_aware,logistic,wf_2024,1732,0.9727955374658129,0.5778560345323811,0.535796766743649,0.02803609897312096,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.013051149316029242,0.024501764350725486
market_aware,stacking,holdout_2025,1727,0.9845125198732586,0.5860825010178807,0.5298204979733642,0.03160046394450372,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.006144496993479298,0.014250338250636707
market_aware,stacking,wf_2021,1792,1.006428847695114,0.600819523730703,0.5200892857142857,0.020562571988056916,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.027922231939380704,0.017734269375520362
market_aware,stacking,wf_2022,1796,0.9840578419469045,0.5858545725906187,0.5311804008908686,0.025300553062691404,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.0059665441629507265,0.024403991085488297
market_aware,stacking,wf_2023,1727,0.9612348826700119,0.5708776928321014,0.5529820497973365,0.03360958064030037,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.007653414993456176,0.026802942942430685
market_aware,stacking,wf_2024,1732,0.9688663599316165,0.574898906957093,0.5386836027713626,0.02696007035055568,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.009121971781832827,0.024501764350725486
market_blind,lightgbm,holdout_2025,1727,1.0145273538885735,0.6058505615417834,0.499131441806601,0.02712151337785414,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.036159331008794204,0.014250338250636707
market_blind,lightgbm,wf_2020,1777,1.0539696172339663,0.6342415774104726,0.4485087225661227,0.03553588922366251,0.9765613270483494,0.5791191479076425,0.5278559369724254,0.03223673791595938,1.0006994148712456,0.5959506721696751,0.5120990433314575,0.030857624001676173,0.0774082901856169,0.02413808782289617
market_blind,lightgbm,wf_2021,1792,1.0219669600468182,0.6118424280870017,0.5,0.032415336767759255,0.9785066157557333,0.5820517151781522,0.5323660714285714,0.020934625849702855,0.9962408851312536,0.5942501171795034,0.5189732142857143,0.015523880084782846,0.04346034429108492,0.017734269375520362
market_blind,lightgbm,wf_2022,1796,1.006871500786246,0.6024519336388162,0.5133630289532294,0.032829437658330574,0.9780912977839538,0.582448436465031,0.532293986636971,0.01481373148490602,1.002495288869442,0.5979081525966093,0.5194877505567929,0.01993545055080123,0.028780203002292337,0.024403991085488297
market_blind,lightgbm,wf_2023,1727,1.0043803359283856,0.6000737866119663,0.5118702953097858,0.02568047155041755,0.9535814676765557,0.566549758228048,0.5570353213665316,0.02384841744042591,0.9803844106189864,0.5844584300974061,0.5298204979733642,0.019416323584447358,0.05079886825182989,0.026802942942430685
market_blind,lightgbm,wf_2024,1732,1.0031962306097904,0.5990457989117172,0.5178983833718245,0.027421800557558145,0.9597443881497837,0.5701075259732455,0.5479214780600462,0.01616714793551063,0.9842461525005092,0.5861923076130482,0.5282909930715936,0.02364311326144934,0.04345184246000666,0.024501764350725486
market_blind,lightgbm_tuned,holdout_2025,1727,1.008130411788436,0.6015540572270721,0.5043427909669947,0.026274596798874904,0.9783680228797793,0.5826872542899714,0.535031847133758,0.023799513780596252,0.992618361130416,0.5915999797421918,0.5182397220613781,0.023372438265464566,0.02976238890865668,0.014250338250636707
market_blind,lightgbm_tuned,wf_2020,1777,1.045960808552764,0.6284795959085057,0.46201463140123805,0.03771863648780258,0.9765613270483494,0.5791191479076425,0.5278559369724254,0.03223673791595938,1.0006994148712456,0.5959506721696751,0.5120990433314575,0.030857624001676173,0.06939948150441466,0.02413808782289617
