outcome,bin_lo,bin_hi,n,mean_predicted,observed_rate,source,track,model
A,0.0,0.1,611,0.06681182672624245,0.09983633387888707,model,market_blind,logistic
A,0.1,0.2,1470,0.15142412612465103,0.1510204081632653,model,market_blind,logistic
A,0.2,0.30000000000000004,2054,0.2522173664521358,0.2195715676728335,model,market_blind,logistic
A,0.30000000000000004,0.4,1860,0.3460140047826978,0.35913978494623655,model,market_blind,logistic
A,0.4,0.5,1207,0.4467008107283419,0.4407622203811102,model,market_blind,logistic
A,0.5,0.6000000000000001,971,0.5450625441724077,0.5046343975283213,model,market_blind,logistic
A,0.6000000000000001,0.7000000000000001,552,0.646674616455778,0.5851449275362319,model,market_blind,logistic
A,0.7000000000000001,0.8,99,0.7201522896350021,0.7070707070707071,model,market_blind,logistic
H,0.0,0.1,157,0.0786259111656077,0.07643312101910828,market,market_blind,logistic
H,0.1,0.2,843,0.1572702098241628,0.13997627520759193,market,market_blind,logistic
H,0.2,0.30000000000000004,1336,0.25398829605904644,0.22080838323353294,market,market_blind,logistic
H,0.30000000000000004,0.4,1635,0.35036784710620505,0.3321100917431193,market,market_blind,logistic
H,0.4,0.5,1629,0.44779421096180205,0.4358502148557397,market,market_blind,logistic
H,0.5,0.6000000000000001,1345,0.5491517274711863,0.5509293680297398,market,market_blind,logistic
H,0.6000000000000001,0.7000000000000001,926,0.6482330037179397,0.6695464362850972,market,market_blind,logistic
H,0.7000000000000001,0.8,637,0.7436054839375398,0.7346938775510204,market,market_blind,logistic
H,0.8,0.9,297,0.839551487189047,0.8148148148148148,market,market_blind,logistic
H,0.9,1.0,19,0.9123911098482692,0.8421052631578947,market,market_blind,logistic
D,0.0,0.1,120,0.08435295687873365,0.058333333333333334,market,market_blind,logistic
D,0.1,0.2,1445,0.16283283864862896,0.17162629757785466,market,market_blind,logistic
D,0.2,0.30000000000000004,6057,0.25909141648528555,0.26432227175169226,market,market_blind,logistic
D,0.30000000000000004,0.4,1201,0.3150239871944453,0.3205661948376353,market,market_blind,logistic
D,0.4,0.5,1,0.4185511252819258,1.0,market,market_blind,logistic
A,0.0,0.1,764,0.07007543817267045,0.08115183246073299,market,market_blind,logistic
A,0.1,0.2,1888,0.15320165981306827,0.14565677966101695,market,market_blind,logistic
A,0.2,0.30000000000000004,2057,0.2502622226348036,0.2493923189110355,market,market_blind,logistic
A,0.30000000000000004,0.4,1592,0.34586993904263763,0.3435929648241206,market,market_blind,logistic
A,0.4,0.5,1125,0.44472667521165526,0.47555555555555556,market,market_blind,logistic
A,0.5,0.6000000000000001,746,0.5482759275585444,0.5656836461126006,market,market_blind,logistic
A,0.6000000000000001,0.7000000000000001,419,0.6455142818404881,0.6801909307875895,market,market_blind,logistic
A,0.7000000000000001,0.8,193,0.7435567735735952,0.7616580310880829,market,market_blind,logistic
A,0.8,0.9,40,0.8302189618417245,0.775,market,market_blind,logistic
