track,model,league,season,n,model_log_loss,market_log_loss,logloss_gap
market_blind,lightgbm,D1,2022,306,1.0285323663245896,0.9967171965434491,0.03181516978114041
market_blind,lightgbm,D1,2023,296,1.0051452543021575,0.9504037422792101,0.054741512022947414
market_blind,lightgbm,D1,2024,296,1.018460881798278,0.9885142693896479,0.02994661240863017
market_blind,lightgbm,E0,2020,370,1.055706353448097,0.9984184697196262,0.05728788372847082
market_blind,lightgbm,E0,2021,375,0.9849404096439704,0.9312777496563892,0.05366265998758124
market_blind,lightgbm,E0,2022,375,1.007972302312564,0.9649751598009977,0.04299714251156628
market_blind,lightgbm,E0,2023,375,0.9642647275809659,0.9027584121702744,0.061506315410691514
market_blind,lightgbm,E0,2024,375,1.0071648881521351,0.9673390904529885,0.039825797699146626
market_blind,lightgbm,F1,2020,371,1.0617336391372976,0.9927548503150889,0.06897878882220865
market_blind,lightgbm,F1,2021,371,1.0336553689359056,1.0021961935775408,0.031459175358364844
market_blind,lightgbm,F1,2022,370,0.9996641474174306,0.9720939473436414,0.027570200073789186
market_blind,lightgbm,F1,2023,301,1.0625598586163498,1.0098303584436599,0.05272950017268996
market_blind,lightgbm,F1,2024,306,0.9816344556006057,0.9546008384014742,0.027033617199131443
market_blind,lightgbm,I1,2020,365,1.0339668995863711,0.9340552995704348,0.09991160001593635
market_blind,lightgbm,I1,2021,370,1.0282622677593178,0.981509902183398,0.046752365575919885
market_blind,lightgbm,I1,2022,370,1.007768546814702,0.9841977357493309,0.023570811065371067
market_blind,lightgbm,I1,2023,380,1.0070474097204867,0.9632768121818599,0.043770597538626776
market_blind,lightgbm,I1,2024,375,0.9851229077820384,0.9477385106913522,0.037384397090686194
market_blind,lightgbm,SP1,2020,370,1.0596143245507532,0.9720757216952135,0.08753860285553972
market_blind,lightgbm,SP1,2021,380,1.027764280064936,0.9890357383046481,0.03872854176028795
market_blind,lightgbm,SP1,2022,375,0.9943216028897954,0.9759010693544311,0.018420533535364325
market_blind,lightgbm,SP1,2023,375,0.994490770385906,0.951939082342038,0.04255168804386811
market_blind,lightgbm,SP1,2024,380,1.0225878513546491,0.945829209358185,0.0767586419964641
market_blind,lightgbm_tuned,D1,2020,301,1.0462017376981767,0.9867920050874408,0.0594097326107359
market_blind,lightgbm_tuned,D1,2021,296,1.0297080290994989,0.9913772538251243,0.03833077527437456
market_blind,lightgbm_tuned,D1,2022,306,1.0112925470444787,0.9967171965434491,0.014575350501029538
market_blind,lightgbm_tuned,D1,2023,296,0.998088565996584,0.9504037422792101,0.047684823717373925
market_blind,lightgbm_tuned,D1,2024,296,1.0124241142303838,0.9885142693896479,0.023909844840735883
market_blind,lightgbm_tuned,E0,2020,370,1.0596607289361664,0.9984184697196262,0.06124225921654014
market_blind,lightgbm_tuned,E0,2021,375,0.9724415479010762,0.9312777496563892,0.04116379824468697
market_blind,lightgbm_tuned,E0,2022,375,1.0040799555465263,0.9649751598009977,0.03910479574552861
market_blind,lightgbm_tuned,E0,2023,375,0.9545164593352375,0.9027584121702744,0.05175804716496313
market_blind,lightgbm_tuned,E0,2024,375,0.9935831975329942,0.9673390904529885,0.026244107080005685
market_blind,lightgbm_tuned,F1,2020,371,1.0512677806468602,0.9927548503150889,0.058512930331771296
market_blind,lightgbm_tuned,F1,2021,371,1.0315084338164453,1.0021961935775408,0.029312240238904552
market_blind,lightgbm_tuned,F1,2022,370,0.9953643040062566,0.9720939473436414,0.023270356662615233
market_blind,lightgbm_tuned,F1,2023,301,1.0526440474426735,1.0098303584436599,0.04281368899901361
market_blind,lightgbm_tuned,F1,2024,306,0.9721667349962425,0.9546008384014742,0.01756589659476826
market_blind,lightgbm_tuned,I1,2020,365,1.0192056033868104,0.9340552995704348,0.08515030381637567
market_blind,lightgbm_tuned,I1,2021,370,1.0142325743996239,0.981509902183398,0.032722672216225934
market_blind,lightgbm_tuned,I1,2022,370,0.9995979360395322,0.9841977357493309,0.015400200290201282
market_blind,lightgbm_tuned,I1,2023,380,0.9925941416894849,0.9632768121818599,0.029317329507625
market_blind,lightgbm_tuned,I1,2024,375,0.9786900155255689,0.9477385106913522,0.030951504834216714
market_blind,lightgbm_tuned,SP1,2020,370,1.0531372221312376,0.9720757216952135,0.08106150043602411
market_blind,lightgbm_tuned,SP1,2021,380,1.0273236087829862,0.9890357383046481,0.03828787047833815
market_blind,lightgbm_tuned,SP1,2022,375,0.9915365390071251,0.9759010693544311,0.015635469652694023
market_blind,lightgbm_tuned,SP1,2023,375,0.9860724058839883,0.951939082342038,0.03413332354195031
market_blind,lightgbm_tuned,SP1,2024,380,0.9963847100932869,0.945829209358185,0.050555500735101844
market_blind,logistic,D1,2020,301,1.0669761890174116,0.9867920050874408,0.08018418392997084
market_blind,logistic,D1,2021,296,1.0472627770915046,0.9913772538251243,0.0558855232663803
market_blind,logistic,D1,2022,306,1.0083028192691705,0.9967171965434491,0.01158562272572139
market_blind,logistic,D1,2023,296,0.9847261197472859,0.9504037422792101,0.03432237746807576
market_blind,logistic,D1,2024,296,1.020983085515541,0.9885142693896479,0.03246881612589314
market_blind,logistic,E0,2020,370,1.074382748313906,0.9984184697196262,0.07596427859427968
market_blind,logistic,E0,2021,375,0.9587430833298856,0.9312777496563892,0.02746533367349635
market_blind,logistic,E0,2022,375,0.9910255956302623,0.9649751598009977,0.026050435829264584
market_blind,logistic,E0,2023,375,0.9381595008433053,0.9027584121702744,0.035401088673030934
market_blind,logistic,E0,2024,375,0.9806817155419124,0.9673390904529885,0.01334262508892392
market_blind,logistic,F1,2020,371,1.1178824558682054,0.9927548503150889,0.12512760555311653
market_blind,logistic,F1,2021,371,1.0184152448785557,1.0021961935775408,0.016219051301014975
market_blind,logistic,F1,2022,370,0.9874189343600088,0.9720939473436414,0.01532498701636742
market_blind,logistic,F1,2023,301,1.0306642251496265,1.0098303584436599,0.020833866705966653
market_blind,logistic,F1,2024,306,0.9764714425908146,0.9546008384014742,0.021870604189340392
market_blind,logistic,I1,2020,365,1.032428509115781,0.9340552995704348,0.09837320954534623
market_blind,logistic,I1,2021,370,0.9991348911713934,0.981509902183398,0.01762498898799547
market_blind,logistic,I1,2022,370,1.0030315445237554,0.9841977357493309,0.018833808774424532
market_blind,logistic,I1,2023,380,0.9891588300294667,0.9632768121818599,0.025882017847606797
market_blind,logistic,I1,2024,375,0.9694330807225303,0.9477385106913522,0.02169457003117814
market_blind,logistic,SP1,2020,370,1.0617647062629154,0.9720757216952135,0.08968898456770191
market_blind,logistic,SP1,2021,380,1.025520078804577,0.9890357383046481,0.03648434049992899
market_blind,logistic,SP1,2022,375,0.983113057733497,0.9759010693544311,0.007211988379065892
market_blind,logistic,SP1,2023,375,0.9674329848780211,0.951939082342038,0.01549390253598315
market_blind,logistic,SP1,2024,380,0.989411403679779,0.945829209358185,0.04358219432159394
market_blind,stacking,D1,2021,296,1.026479934018716,0.9913772538251243,0.03510268019359175
market_blind,stacking,D1,2022,306,1.0210484602671115,0.9967171965434491,0.024331263723662344
market_blind,stacking,D1,2023,296,0.9837075668563112,0.9504037422792101,0.03330382457710113
market_blind,stacking,D1,2024,296,1.0069447417576625,0.9885142693896479,0.01843047236801454
market_blind,stacking,E0,2021,375,0.9728845782052883,0.9312777496563892,0.04160682854889908
market_blind,stacking,E0,2022,375,0.9797452849678621,0.9649751598009977,0.014770125166864378
market_blind,stacking,E0,2023,375,0.9480101478742015,0.9027584121702744,0.04525173570392704
market_blind,stacking,E0,2024,375,0.9811498045011127,0.9673390904529885,0.013810714048124173
market_blind,stacking,F1,2021,371,1.0320238605197427,1.0021961935775408,0.029827666942201958
market_blind,stacking,F1,2022,370,0.9962514240570824,0.9720939473436414,0.02415747671344104
market_blind,stacking,F1,2023,301,1.0292633721841375,1.0098303584436599,0.019433013740477678
market_blind,stacking,F1,2024,306,0.9832678224871652,0.9546008384014742,0.028666984085690905
market_blind,stacking,I1,2021,370,1.0177458663073373,0.981509902183398,0.03623596412393937
market_blind,stacking,I1,2022,370,0.999223964238819,0.9841977357493309,0.015026228489488092
market_blind,stacking,I1,2023,380,0.9871529817128808,0.9632768121818599,0.023876169531020897
market_blind,stacking,I1,2024,375,0.9629463795894329,0.9477385106913522,0.015207868898080679
market_blind,stacking,SP1,2021,380,1.0502623272458875,0.9890357383046481,0.061226588941239446
market_blind,stacking,SP1,2022,375,0.9815486213635644,0.9759010693544311,0.00564755200913325
market_blind,stacking,SP1,2023,375,0.9710682430602858,0.951939082342038,0.019129160718247884
market_blind,stacking,SP1,2024,380,0.9736572867082924,0.945829209358185,0.027828077350107394
