track,model,threshold,n_bets,flat_roi,roi_lo,roi_hi
market_blind,lightgbm,0.11999999999999998,2873,-0.0454089801601114,-0.12388296206056378,0.03645892794987816
market_blind,lightgbm,0.12999999999999998,2414,-0.06944490472245238,-0.15360584092792046,0.024537282518641245
market_blind,lightgbm,0.13999999999999999,2030,-0.049852216748768476,-0.14976921182266006,0.051030049261083725
market_blind,lightgbm,0.14999999999999997,1741,-0.055381964388282606,-0.16099382538770818,0.05446682940838596
market_blind,lightgbm,0.15999999999999998,1439,-0.03989576094510076,-0.15641608756080608,0.08307748436414175
market_blind,lightgbm,0.16999999999999996,1214,-0.01897034596375617,-0.15974773476112025,0.11933566721581548
market_blind,lightgbm,0.17999999999999997,1016,-0.004301181102362216,-0.13917691929133852,0.14200762795275582
market_blind,lightgbm,0.18999999999999997,846,-0.028640661938534276,-0.1897050827423168,0.14439007092198558
market_blind,lightgbm,0.19999999999999996,689,-0.021015965166908547,-0.19246879535558778,0.16225399129172693
market_blind,lightgbm_tuned,0.02,10726,-0.04267014730561253,-0.0815530020510908,-0.0032993427186276533
market_blind,lightgbm_tuned,0.03,9437,-0.04583871993218184,-0.08435540955812229,-0.004831991098866189
market_blind,lightgbm_tuned,0.039999999999999994,8213,-0.05331669304760746,-0.09949552538658223,-0.009448100572263501
market_blind,lightgbm_tuned,0.049999999999999996,7108,-0.05494372537985369,-0.10201635481148001,-0.005839582160945445
market_blind,lightgbm_tuned,0.06,6152,-0.057558517555266586,-0.10858070546163849,-0.0037552828348504713
market_blind,lightgbm_tuned,0.06999999999999999,5282,-0.05455319954562665,-0.10926968951154863,0.0021155812192350525
market_blind,lightgbm_tuned,0.07999999999999999,4483,-0.05553870176221281,-0.11756496765558777,0.009935980370287699
market_blind,lightgbm_tuned,0.09,3815,-0.06340235910878113,-0.12698997378768018,0.006934534731323688
market_blind,lightgbm_tuned,0.09999999999999999,3219,-0.06652687169928549,-0.13721093507300397,0.01241216216216214
market_blind,lightgbm_tuned,0.10999999999999999,2716,-0.0394182621502209,-0.11964497422680413,0.04674825110456553
market_blind,lightgbm_tuned,0.11999999999999998,2240,-0.050401785714285705,-0.13484988839285714,0.04132477678571428
market_blind,lightgbm_tuned,0.12999999999999998,1861,-0.059204728640515854,-0.15372649113379902,0.04244048898441692
market_blind,lightgbm_tuned,0.13999999999999999,1534,-0.06934159061277703,-0.16988510430247714,0.04362369621903508
market_blind,lightgbm_tuned,0.14999999999999997,1268,-0.06788643533123029,-0.18753450315457415,0.05065319400630911
market_blind,lightgbm_tuned,0.15999999999999998,1015,-0.06690640394088669,-0.18953571428571428,0.07105369458128064
market_blind,lightgbm_tuned,0.16999999999999996,822,0.0045012165450121775,-0.1482341849148418,0.16358454987834542
market_blind,lightgbm_tuned,0.17999999999999997,683,-0.003645680819912145,-0.17676756954612002,0.1815574670571008
market_blind,lightgbm_tuned,0.18999999999999997,563,-0.00019538188277088195,-0.18755772646536412,0.19190763765541735
market_blind,lightgbm_tuned,0.19999999999999996,456,0.015811403508771936,-0.1824939692982456,0.23001425438596473
market_blind,logistic,0.02,10113,-0.047023632947691095,-0.08257564520913675,-0.010278601799663837
market_blind,logistic,0.03,8798,-0.048177994998863376,-0.08692356217322118,-0.005177824505569466
market_blind,logistic,0.039999999999999994,7580,-0.038493403693931394,-0.08306091688654355,0.004531794195250648
market_blind,logistic,0.049999999999999996,6468,-0.040480828695114414,-0.08591693722943723,0.0051726963512677745
market_blind,logistic,0.06,5506,-0.05066291318561569,-0.10462422811478386,-0.0017668906647294647
market_blind,logistic,0.06999999999999999,4670,-0.06615203426124197,-0.12044908993576013,-0.011877408993576036
market_blind,logistic,0.07999999999999999,3886,-0.06446989191971178,-0.12377013638703034,-0.004944608852290273
market_blind,logistic,0.09,3244,-0.05224106041923552,-0.11741152897657213,0.014402666461159059
market_blind,logistic,0.09999999999999999,2683,-0.04283637718971302,-0.1126530003727171,0.02853596720089452
market_blind,logistic,0.10999999999999999,2272,-0.05647447183098592,-0.12764975792253525,0.02077354753521116
market_blind,logistic,0.11999999999999998,1918,-0.043628779979144945,-0.1271521115745568,0.039593196037539
market_blind,logistic,0.12999999999999998,1588,-0.07012594458438286,-0.1591520780856423,0.02057635390428209
market_blind,logistic,0.13999999999999999,1337,-0.10100224382946896,-0.1949670905011219,-0.007097045624532621
market_blind,logistic,0.14999999999999997,1125,-0.10710222222222222,-0.20448355555555553,-0.012264000000000112
market_blind,logistic,0.15999999999999998,976,-0.12234631147540984,-0.22727126024590166,-0.0106787909836066
market_blind,logistic,0.16999999999999996,845,-0.13871005917159765,-0.24744437869822478,-0.024207100591715994
market_blind,logistic,0.17999999999999997,737,-0.11709633649932157,-0.2387805291723202,0.013504748982360891
market_blind,logistic,0.18999999999999997,628,-0.09011146496815287,-0.22908399681528663,0.05901592356687898
market_blind,logistic,0.19999999999999996,545,-0.0949724770642202,-0.24518165137614678,0.06514633027522923
market_blind,mlp,0.02,10545,-0.06150972024656235,-0.09927520151730677,-0.024406306306306316
market_blind,mlp,0.03,9328,-0.0636942538593482,-0.10327682783018867,-0.02322255574614069
market_blind,mlp,0.039999999999999994,8185,-0.058580329871716554,-0.10509945021380575,-0.01460375687232748
market_blind,mlp,0.049999999999999996,7105,-0.0557579169598874,-0.103295109078114,-0.009113511611541206
market_blind,mlp,0.06,6129,-0.060006526350138686,-0.11086853483439386,-0.007897128405939053
market_blind,mlp,0.06999999999999999,5211,-0.05804644022260603,-0.11787799846478603,-0.0033698906160046574
market_blind,mlp,0.07999999999999999,4409,-0.0681197550464958,-0.12929513495123612,-0.00606611476525292
market_blind,mlp,0.09,3763,-0.08198777571086899,-0.14259480467711932,-0.017384400744087168
market_blind,mlp,0.09999999999999999,3198,-0.09877736085053158,-0.16391518136335204,-0.035095215759849946
market_blind,mlp,0.10999999999999999,2711,-0.09618222058281077,-0.1661309479896717,-0.02101779786056808
market_blind,mlp,0.11999999999999998,2305,-0.12296746203904556,-0.19447212581344903,-0.045786008676789634
