season,feature,ks_statistic,ks_p_value,psi,drifted
2021,home_goals_for_r10,0.035813006999454784,0.11275566320444327,0.00655066672955599,False
2021,home_goals_against_r5,0.013817895782733495,0.9775564958573041,0.005286911995908624,False
2021,home_goals_against_r10,0.025752171827451684,0.4443652920178687,0.01055605267605412,False
2021,home_xg_for_r5,0.025368803819827777,0.4388717932620572,0.011592167974904383,False
2021,home_xg_for_r10,0.04264443828908651,0.03413420404232954,0.02037385353196607,False
2021,home_xg_against_r5,0.019401702914550675,0.7683937952359433,0.010672978358822301,False
2021,home_xg_against_r10,0.01932994060502935,0.7919261789671727,0.0035291920335892386,False
2021,away_elo,0.06968891449547361,2.557344821352933e-05,0.05384863780504626,False
2021,away_points_r5,0.014131672278648708,0.9721842631213645,0.007809938843102191,False
2021,away_points_r10,0.015389528371583137,0.9506681928471545,0.009155667667329835,False
2021,away_goals_for_r5,0.028935229907264298,0.2821929429275899,0.009028612528482863,False
2021,away_goals_for_r10,0.025292056909987846,0.4675196301847287,0.007257761546858985,False
2021,away_goals_against_r5,0.019046354051667033,0.7874300578103569,0.007459389338317892,False
2021,away_goals_against_r10,0.03121469936369486,0.2240994198565191,0.00955351209480596,False
2021,away_xg_for_r5,0.028824657761095166,0.2863754097758024,0.012207992401349272,False
2021,away_xg_for_r10,0.046879721646290604,0.0146752344330903,0.028581213555861445,False
2021,away_xg_against_r5,0.027325465058511814,0.34736631751189245,0.007198492461435203,False
2021,away_xg_against_r10,0.02361240199232621,0.556206241983714,0.011358393444992823,False
2021,elo_diff,0.022827886950761756,0.5747093074559388,0.007320835178961093,False
2021,rest_diff,0.03026830564142195,0.2352439836016828,0.014343546294609254,False
2021,points_diff_r5,0.018348766283947892,0.823334091471025,0.005462114235503332,False
2021,xg_diff_r5,0.03289650723117686,0.16022784988677066,0.018114900497284987,False
2021,goal_diff_r5,0.023252580591742105,0.5509855518712095,0.009729923867588256,False
2021,xg_overperformance_r5,0.023418180061823803,0.5418210016146169,0.013257523073585133,False
2021,points_diff_r10,0.02358653883144473,0.5635833830202134,0.004429337693329573,False
2021,xg_diff_r10,0.03456862995775656,0.1405472873602287,0.009926750885466823,False
